Q,Pgen,Ppost
4.503063,6.337256028500602e-11,2.853706442298723e-10
6.70848,5.86039476289266e-16,3.931434036326289e-15
0.5703155,4.382688194323441e-12,2.4995149222537367e-12
1.7336476,1.3964035429490564e-10,2.420871629800606e-10
0.696712,1.588780413818083e-14,1.1069224067755476e-14
2.2964873,7.804965831656345e-13,1.7924005154333584e-12
1.3267885,1.4752717529736973e-09,1.9573736620983757e-09
6.8065867,6.612554691396288e-14,4.5008927095860327e-13
2.1792564,1.4212935951745927e-13,3.097363219290719e-13
3.0516646,1.2853430726182792e-11,3.9224359417849974e-11
1.7022374,2.504435045063737e-13,4.2631429185096283e-13
0.50512916,2.828426331930233e-11,1.4287206129182697e-11
0.99474037,1.4776030174555071e-22,1.469831367769033e-22
2.685336,1.9095010360733778e-11,5.127652089933071e-11
0.23957509,1.5831766054805266e-13,3.792896746157554e-14
0.99261135,4.594740521357408e-10,4.560791585504881e-10
2.0922985,4.7598681846182376e-11,9.959065099479893e-11
4.2108946,9.25041058065332e-13,3.895250381991542e-12
1.1439557,2.1776345967147302e-14,2.4911175258702644e-14
2.5461993,5.001371528698228e-08,1.2734488794175314e-07
3.873832,2.8507862579531475e-15,1.1043466995245032e-14
0.31160477,1.3435557088201868e-11,4.186583649927709e-12
3.7333715,3.330235498736704e-10,1.2433006286618872e-09
0.53199214,5.342236159476745e-10,2.842027633147078e-10
3.1688013,4.724326191628946e-11,1.497045101393228e-10
5.388353,4.221073344418089e-10,2.2744632673848423e-09
0.9489149,1.2108589015275705e-15,1.1490020359250398e-15
5.184798,1.2141132053062678e-08,6.294931431901688e-08
0.8600302,1.3931686012204558e-09,1.1981670348747402e-09
1.1536367,4.611970252249954e-08,5.32053811442199e-08
1.1227536,5.959382585941196e-14,6.690918372210669e-14
1.2259701,1.937008955137292e-22,2.374715157421911e-22
1.4354458,9.57206381701002e-13,1.3740178664879072e-12
27.203295,4.80432307253779e-11,1.3069341663582448e-09
0.48577875,1.7606220872388285e-11,8.552727949814653e-12
1.1407094,1.8429384388897086e-14,2.10225720118902e-14
4.699398,4.473257695855354e-16,2.1021618451768617e-15
2.377214,4.4325736306560253e-13,1.0537175891030456e-12
1.7734883,2.1638895019738966e-16,3.837632677797896e-16
11.103123,3.800086290483162e-22,4.2192824396313585e-21
1.2428861,2.0825651332540813e-17,2.5883911865685278e-17
2.9757857,1.4075007245947193e-17,4.1884205744076486e-17
2.3217783,5.417747939359146e-10,1.2578809586519377e-09
2.3979187,8.285722906098292e-13,1.986848990926127e-12
1.9973409,2.2781443438768885e-15,4.550230914195337e-15
1.675908,1.059420961427157e-11,1.775492032284419e-11
1.3017204,1.790102378938396e-16,2.330212750352388e-16
1.2361506,6.197456136586433e-14,7.660989260338825e-14
0.56654817,9.628444974560451e-14,5.4549778673731996e-14
16.011139,3.2843866980544546e-16,5.258677167646374e-15
