Q,Pgen,Ppost
0.37026,5.077567187142812e-16,1.8800200278736604e-16
0.22255723,1.2980852408591227e-09,2.8889825782510044e-10
0.7033837,3.1073886848225756e-16,2.185686501242396e-16
1.4226032,1.947670084137052e-13,2.770761790744431e-13
0.08453375,3.9114196692666867e-13,3.3064697642090645e-14
0.5859715,7.171579952128994e-15,4.2023412801016314e-15
0.4100728,8.206588573791228e-12,3.3652987836035963e-12
1.2148092,1.9176700506029666e-17,2.3296031803527434e-17
1.8130981,1.1419298629549831e-18,2.0704308340313158e-18
1.0820045,1.4496898480440135e-14,1.5685710074960785e-14
0.38255915,1.1817124658085894e-16,4.5207491700463225e-17
1.0807989,7.918833704489375e-19,8.558666474904425e-19
0.3644455,1.5697598298947703e-20,5.720919179005513e-21
0.5211956,1.6199676870873246e-19,8.443200152560199e-20
2.364033,5.101281796653682e-18,1.205959842684533e-17
1.3605927,3.717065651031118e-14,5.0574124753075835e-14
0.5474374,6.017851811947969e-14,3.2943973266120334e-14
0.4331506,4.800823184767134e-11,2.0794793924043796e-11
0.6053249,2.4136366950057844e-14,1.4610344489490572e-14
0.75251395,1.120574670142069e-14,8.432480658107557e-15
0.17023455,3.805046751718086e-20,6.477504065360887e-21
2.6463494,1.6678418541829035e-13,4.4136923402875497e-13
0.4987962,2.1386743089572369e-13,1.066762607206839e-13
0.9326451,3.224408400286155e-08,3.007228638413949e-08
0.46969557,5.571475890382273e-17,2.616897533403405e-17
0.7362261,9.673386852657092e-10,7.121799700733086e-10
0.09463202,1.2589388430334328e-09,1.191359283948416e-10
0.49773413,8.931769126965282e-22,4.445646330669666e-22
0.10818267,4.257569441936987e-22,4.605952243443369e-23
0.68723124,3.8026739508766284e-11,2.6133163446792378e-11
1.2056743,5.3985570761604135e-12,6.508901473371269e-12
0.6163913,1.0270639990150993e-11,6.330733147224675e-12
1.5817004,2.54711033448281e-11,4.0287655475326254e-11
0.52713054,3.6685062639908205e-12,1.9337817032859047e-12
1.0523685,2.261411765696693e-08,2.3798385567994353e-08
1.0748174,5.390788462337318e-16,5.794113341745365e-16
1.2818276,9.776550475521015e-09,1.2531851929319874e-08
3.0641634,0.0,0.0
1.0807083,0.0,0.0
0.7235025,9.080179851223529e-12,6.569532974871274e-12
1.9111571,3.9358124565693765e-12,7.521956043418945e-12
0.8526613,1.1470119810189343e-15,9.780127401868393e-16
3.3550987,9.801792569597715e-15,3.288598174674992e-14
0.40328762,2.600533557687828e-18,1.0487629875257971e-18
0.2534539,1.9645945504688918e-14,4.9793417107021184e-15
1.9727771,8.753388286625532e-10,1.7268484206280241e-09
0.106218785,8.582070021418609e-22,9.11577050867924e-23
1.1843092,1.7946932412214153e-14,2.1254717960026077e-14
1.2627983,1.8473445448043512e-12,2.3328235679218613e-12
0.8433406,1.900904954334054e-16,1.6031102785296307e-16
2.0352435,1.027351489117916e-13,2.090910451948846e-13
1.6163914,3.1848059551980753e-17,5.1478930215075526e-17
0.89430374,3.0364206526989176e-16,2.7154823431007213e-16
0.3935012,4.945620124354419e-12,1.9461074157512057e-12
0.4911608,2.705687712543246e-14,1.3289277684828608e-14
0.38293222,7.26183592918442e-14,2.7807909240756465e-14
0.33532265,2.3928121684546893e-14,8.023641131791536e-15
1.0756476,1.6183954244924315e-07,1.7408231421404082e-07
0.63277984,1.4333598005870646e-14,9.070011804828432e-15
0.32241204,9.395525188026368e-11,3.0292304785388894e-11
0.8522762,2.153137133371601e-11,1.835067547063278e-11
2.6993256,2.4750537234884465e-10,6.680975781956126e-10
0.54675335,1.2427111644712956e-09,6.794564884295481e-10
1.1763948,4.118281532764741e-11,4.8447250633246044e-11
0.48905864,6.043665782303115e-11,2.955706989740897e-11
0.5626863,1.5991986453337292e-14,8.998472072798287e-15
0.6789214,5.8163224323647284e-11,3.948825777361033e-11
1.2141399,1.291247879631638e-13,1.5677556209763257e-13
0.9288023,1.1887785121726438e-10,1.1041402298729041e-10
0.17573805,3.342544115124998e-14,5.874121899574994e-15
