Q,Pgen,Ppost
1.5195979,1.6660392349773547e-09,2.5317097027848264e-09
7.1051536,1.1569773185016173e-10,8.220501514129667e-10
0.77568,1.6604464150543341e-13,1.287975084445462e-13
1.2444094,3.135716356991898e-11,3.902115041911306e-11
1.5206907,6.510942960766983e-15,9.901130275521145e-15
10.229321,2.4343956469112047e-19,2.490221335965338e-18
0.3009541,1.0442383982586997e-21,3.1426783095673774e-22
0.62757033,7.511925911740145e-17,4.714261831604261e-17
2.4159222,5.0773683420413244e-11,1.2266526716985476e-10
0.56954265,5.022350051000609e-15,2.860442539234648e-15
0.690024,3.5322793233737804e-17,2.4373575724287882e-17
0.9785584,4.5124389384314485e-12,4.415685123059343e-12
3.4379628,2.470478270677541e-17,8.493412319824819e-17
1.8787237,1.079428667194714e-10,2.027948263318852e-10
2.531314,7.905979938432435e-14,2.0012516881067993e-13
1.9870259,3.6921140510739745e-09,7.336326086372669e-09
9.206023,7.425366660507224e-16,6.8358097865780115e-15
3.0163438,2.5033219489669298e-20,7.550879720316649e-20
24.158882,3.48811253609889e-17,8.426889965455283e-16
3.169407,1.1950603463771852e-10,3.7876324968123126e-10
0.2515174,6.098117528212715e-17,1.5337825756089198e-17
1.6493597,3.1906399644376384e-18,5.262512984328882e-18
2.8655894,6.791094616483552e-18,1.9460488613365206e-17
1.1098919,8.689712015379845e-13,9.644640905162007e-13
32.07034,1.0996041754969355e-17,3.5264678897090857e-16
4.0041227,2.7273971081580956e-20,1.0920832765612125e-19
41.923172,2.0072262864576322e-22,8.414929284420404e-21
0.3338832,1.931389791241693e-17,6.448585964446127e-18
1.8616515,1.7132362293152627e-16,3.1894488643502754e-16
1.937033,6.849245627802269e-13,1.3267215198023435e-12
1.9042352,5.603613189675462e-30,1.0670597728387431e-29
1.872213,3.665416552138398e-12,6.862440541393e-12
2.9409482,9.412046842831998e-15,2.768034267166934e-14
0.9151752,1.8994244065643604e-13,1.7383061102291698e-13
1.080803,1.470784517896754e-14,1.589628373259094e-14
2.382882,1.4580667315204795e-16,3.474401141719065e-16
0.5929335,8.039706941461141e-17,4.7670113825905156e-17
1.1744646,8.140157062345073e-11,9.560326173012534e-11
1.5433353,1.934168150390127e-10,2.9850700185413363e-10
1.7305261,8.126467652462284e-09,1.4063064289431274e-08
1.3166816,2.305456580480802e-12,3.0355523132013797e-12
4.2396555,1.5070717585231395e-10,6.389465061914661e-10
0.4285974,2.5862595355491783e-09,1.1084640884844628e-09
2.4465792,2.922525364943758e-10,7.150189821688477e-10
2.442021,1.6348403711015908e-12,3.992314343108413e-12
5.2039227,3.966488085746461e-09,2.064129758133072e-08
4.3710556,4.52999809862832e-13,1.9800873570712532e-12
5.743892,6.258819411903985e-11,3.5949983956434347e-10
3.3484418,3.991586795727084e-12,1.336559623168324e-11
0.3048375,4.6847105516847044e-14,1.428075429790592e-14
2.5764394,5.825189529569613e-15,1.500824770370845e-14
20.93278,6.790600297377462e-16,1.421461374219125e-14
6.407106,6.030850804300282e-10,3.864029990714621e-09
7.560293,2.1578297825191834e-16,1.6313825826427166e-15
59.634155,1.852252796188416e-19,1.1045753085355878e-17
4.038561,4.452147751982534e-12,1.798026968663694e-11
5.9438934,5.5801548264476684e-12,3.31678456259094e-11
2.9248316,2.624719381855094e-15,7.676862264772689e-15
1.2570574,5.479288850096321e-11,6.887780751143623e-11
2.1446323,4.653373508426293e-10,9.979775313839084e-10
3.6652896,2.742296906873061e-13,1.0051312443735836e-12
2.4339242,6.117772588124859e-11,1.489019474101973e-10
1.150558,1.4771974199075749e-09,1.699601301435417e-09
1.562874,7.825316925677148e-14,1.222998404829876e-13
3.5498798,1.0400195339089609e-16,3.691944323955141e-16
4.572569,6.387761861837413e-10,2.9208481188092973e-09
1.7737496,9.451584178265379e-11,1.6764743560292992e-10
5.2264194,3.0554572835169544e-10,1.5969101371711157e-09
1.0369798,2.882433292798052e-11,2.9890250836321917e-11
1.0988454,2.825021956054542e-13,3.104262275832451e-13
5.31171,5.1935708044867764e-11,2.758674135897669e-10
44.58105,7.642417942727258e-16,3.407070230959443e-14
3.9638166,3.3795992485957154e-11,1.3396111747447045e-10
26.531027,4.872025205185468e-19,1.2925983148495509e-17
4.986121,2.694580041780515e-15,1.3435502611257739e-14
2.3664684,7.386265307942334e-11,1.747936366363991e-10
